"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FAM83A",6357.20722031705,6.53633674173632,0.333852971934656,5.42210155929327e-88,1.99034504038537e-83
"PYCR1",3711.13112215652,3.58692209402743,0.1853205845826,1.29644239251839e-84,2.37949036722824e-80
"OTUD1",1058.55152768911,-2.02973023358238,0.111278432979253,9.66674949488584e-75,1.18282346819423e-70
"AFAP1-AS1",2629.00515761556,6.22319845093467,0.35273151703614,2.83124182115931e-72,2.59823061927789e-68
"ETV4",2022.69860562993,3.8481246120809,0.218045604095635,1.36602391244975e-71,1.00288011556411e-67
"STX11",752.388702742411,-3.01159339660759,0.169651596084644,7.57862660002025e-71,4.63660375389239e-67
"TEDC2",268.473756663822,3.46318289478938,0.201175254196294,2.88074170732541e-68,1.51066095132144e-64
"SPAAR",60.923567165799,-2.65274704547533,0.154683830597352,2.3168882936245e-66,1.0631041935296e-62
"TOP2A",5365.55898738108,3.87250916139942,0.222060014825597,4.02522461959908e-66,1.64175494818048e-62
"IQGAP3",1327.24902816048,3.51502270464507,0.208195308420619,1.34420974272025e-65,4.93432512357748e-62
"EMP2",13878.6619908976,-2.62505283177086,0.157197359113403,4.78115865896887e-64,1.59551610957663e-60
"SAPCD2",446.625700265471,3.80951428998466,0.230136427562754,1.19597555690322e-63,3.65848922856695e-60
"FAM83A-AS1",221.982432058582,6.56251325873752,0.395500470962307,2.96132934339995e-63,8.36188288750195e-60
"RTKN2",1869.18968894675,-4.00790250611701,0.240877689318356,2.51840385765629e-62,6.60325491477479e-59
"CRABP2",6843.53596708305,5.36693553631963,0.330476549107138,6.73922843709549e-62,1.64922398312601e-58
"RGCC",3046.83143895953,-2.70963900707825,0.163811119002073,9.44762696740175e-62,2.16752181699615e-58
"PECAM1",11318.8750450023,-2.18337217685144,0.132745727874148,1.76394579599783e-61,3.80887778114638e-58
"KIF4A",853.79285391463,3.84542203409827,0.237368627653019,5.52928091678994e-61,1.12760468829736e-57
"ADM2",717.310280685288,3.41168616686173,0.211969414792028,1.61839894797789e-60,3.12674676749329e-57
"TMPRSS4",5688.27985463688,4.75521012090678,0.296968376875887,7.14101445712856e-60,1.31066179346138e-56
"HJURP",693.325736738819,3.87955182838292,0.242003117844982,8.0601320616459e-60,1.4089110843757e-56
"B3GNT3",2208.36794138877,4.25745631443004,0.266735477287137,9.53171512621742e-60,1.59040999478722e-56
"LCAL1",1276.19377018706,7.38221428889606,0.464375677883491,2.53305551997316e-59,4.04275660987716e-56
"ACVRL1",2015.93370891318,-2.36634022502346,0.146133651519741,2.72608936581041e-59,4.16955368500702e-56
"EPAS1",24783.3765697712,-2.47216697490788,0.153255597173289,3.40612930957659e-59,5.0012877878375e-56
"CD101",247.861047876911,-2.91892150167207,0.180824722863612,5.58421105338491e-59,7.88404689798667e-56
"ZFPM2-AS1",169.502576591692,5.72016644715599,0.360381553026924,1.07076520972155e-58,1.45576478957254e-55
"PTPN21",1115.26396578365,-2.3495992397456,0.146043071762518,1.16943526317698e-58,1.53312963002501e-55
"FAM107A",1401.91797246002,-4.32976781784842,0.268875832130947,1.84558210740432e-58,2.33612510339992e-55
